num.trans.involved.in,sample,peak
11,Sample_data[, -1],203.107783
3,Sample_data[, -1],204.0533922
20,Sample_data[, -1],205.0142724
45,Sample_data[, -1],205.0506543
60,Sample_data[, -1],205.0870357
11,Sample_data[, -1],205.1234302
12,Sample_data[, -1],205.1598138
62,Sample_data[, -1],207.0299118
45,Sample_data[, -1],207.0663043
29,Sample_data[, -1],207.1026919
28,Sample_data[, -1],209.0455722
41,Sample_data[, -1],209.0819552
44,Sample_data[, -1],210.0533832
5,Sample_data[, -1],210.0715882
28,Sample_data[, -1],211.0248334
48,Sample_data[, -1],211.061218
4,Sample_data[, -1],211.0794132
60,Sample_data[, -1],211.0975987
40,Sample_data[, -1],212.0690329
2,Sample_data[, -1],212.0750953
58,Sample_data[, -1],215.0713839
67,Sample_data[, -1],217.0506448
4,Sample_data[, -1],217.0612148
6,Sample_data[, -1],217.0793987
68,Sample_data[, -1],217.0870317
46,Sample_data[, -1],217.1234208
13,Sample_data[, -1],218.0690311
1,Sample_data[, -1],218.0872353
58,Sample_data[, -1],219.0299139
3,Sample_data[, -1],219.0586719
90,Sample_data[, -1],219.0662973
11,Sample_data[, -1],219.076857
82,Sample_data[, -1],219.10268
7,Sample_data[, -1],220.0482982
7,Sample_data[, -1],220.0664915
9,Sample_data[, -1],220.1468992
43,Sample_data[, -1],221.0091797
78,Sample_data[, -1],221.0455643
88,Sample_data[, -1],221.0819481
57,Sample_data[, -1],221.118332
35,Sample_data[, -1],221.1547158
51,Sample_data[, -1],222.0533856
29,Sample_data[, -1],222.0897761
76,Sample_data[, -1],223.0248209
1,Sample_data[, -1],223.028371
123,Sample_data[, -1],223.061206
7,Sample_data[, -1],223.0794072
111,Sample_data[, -1],223.0975907
59,Sample_data[, -1],223.1339774
7,Sample_data[, -1],224.0508428
72,Sample_data[, -1],224.0690267
7,Sample_data[, -1],224.0872305
69,Sample_data[, -1],225.0404753
13,Sample_data[, -1],225.0586645
91,Sample_data[, -1],225.0768606
66,Sample_data[, -1],225.1132462
1,Sample_data[, -1],225.1608605
1,Sample_data[, -1],225.1618831
6,Sample_data[, -1],226.0664954
61,Sample_data[, -1],226.0846776
95,Sample_data[, -1],227.0561182
94,Sample_data[, -1],227.0925057
51,Sample_data[, -1],227.1077641
15,Sample_data[, -1],227.2016638
79,Sample_data[, -1],231.10268
79,Sample_data[, -1],233.0455606
9,Sample_data[, -1],233.0743103
104,Sample_data[, -1],233.0819435
84,Sample_data[, -1],233.1183251
108,Sample_data[, -1],235.0248168
146,Sample_data[, -1],235.0612003
115,Sample_data[, -1],235.097589
70,Sample_data[, -1],235.1339785
75,Sample_data[, -1],236.069028
47,Sample_data[, -1],236.1054202
66,Sample_data[, -1],237.0404768
128,Sample_data[, -1],237.0768559
4,Sample_data[, -1],237.0950531
110,Sample_data[, -1],237.1132363
50,Sample_data[, -1],238.0482981
17,Sample_data[, -1],238.0664785
56,Sample_data[, -1],238.0846832
17,Sample_data[, -1],238.1028631
62,Sample_data[, -1],239.0197352
91,Sample_data[, -1],239.056125
1,Sample_data[, -1],239.0596755
20,Sample_data[, -1],239.074305
106,Sample_data[, -1],239.092507
96,Sample_data[, -1],239.1288854
5,Sample_data[, -1],239.1401271
54,Sample_data[, -1],240.0275532
13,Sample_data[, -1],240.04575
70,Sample_data[, -1],240.0639354
11,Sample_data[, -1],240.0821386
60,Sample_data[, -1],240.1003251
54,Sample_data[, -1],241.0353881
104,Sample_data[, -1],241.0717705
104,Sample_data[, -1],241.1081506
5,Sample_data[, -1],241.2173175
88,Sample_data[, -1],243.0298993
106,Sample_data[, -1],243.0874124
79,Sample_data[, -1],243.1026763
83,Sample_data[, -1],245.0455568
115,Sample_data[, -1],245.0819331
16,Sample_data[, -1],245.0925022
91,Sample_data[, -1],245.1183162
16,Sample_data[, -1],246.0821244
109,Sample_data[, -1],247.0248127
136,Sample_data[, -1],247.0611968
94,Sample_data[, -1],247.0975925
86,Sample_data[, -1],247.1339762
111,Sample_data[, -1],249.0404704
121,Sample_data[, -1],249.0768559
132,Sample_data[, -1],249.113231
82,Sample_data[, -1],249.1496197
79,Sample_data[, -1],250.0846718
65,Sample_data[, -1],251.019738
157,Sample_data[, -1],251.0561116
153,Sample_data[, -1],251.0924991
79,Sample_data[, -1],251.1288935
53,Sample_data[, -1],252.0639478
19,Sample_data[, -1],252.0821271
69,Sample_data[, -1],252.1003197
117,Sample_data[, -1],253.0353745
112,Sample_data[, -1],253.0717716
22,Sample_data[, -1],253.0899511
130,Sample_data[, -1],253.1081515
82,Sample_data[, -1],253.14453
10,Sample_data[, -1],253.2173104
18,Sample_data[, -1],254.0613914
50,Sample_data[, -1],254.0795992
21,Sample_data[, -1],254.0977769
74,Sample_data[, -1],255.0298926
73,Sample_data[, -1],255.0510378
74,Sample_data[, -1],255.066287
15,Sample_data[, -1],255.0692175
124,Sample_data[, -1],255.0874095
107,Sample_data[, -1],255.1237984
7,Sample_data[, -1],255.2329542
50,Sample_data[, -1],257.030301
91,Sample_data[, -1],257.0455488
103,Sample_data[, -1],257.0666743
81,Sample_data[, -1],257.0819392
113,Sample_data[, -1],257.1030641
66,Sample_data[, -1],257.1183112
11,Sample_data[, -1],258.1003325
106,Sample_data[, -1],259.0248094
78,Sample_data[, -1],259.0612076
14,Sample_data[, -1],259.071767
90,Sample_data[, -1],259.0823252
18,Sample_data[, -1],259.0899467
111,Sample_data[, -1],259.0975789
16,Sample_data[, -1],259.1081485
84,Sample_data[, -1],259.1339694
53,Sample_data[, -1],260.0326417
10,Sample_data[, -1],260.0613858
17,Sample_data[, -1],260.0795826
8,Sample_data[, -1],260.0977877
14,Sample_data[, -1],260.1159654
70,Sample_data[, -1],261.0040709
136,Sample_data[, -1],261.0404633
18,Sample_data[, -1],261.0692163
144,Sample_data[, -1],261.0768514
12,Sample_data[, -1],261.0874194
127,Sample_data[, -1],261.1132266
1,Sample_data[, -1],261.1375367
66,Sample_data[, -1],261.149626
85,Sample_data[, -1],262.048281
9,Sample_data[, -1],262.0770494
70,Sample_data[, -1],262.0846806
17,Sample_data[, -1],262.0952384
1,Sample_data[, -1],262.1408947
98,Sample_data[, -1],263.0197248
155,Sample_data[, -1],263.0561104
129,Sample_data[, -1],263.092506
121,Sample_data[, -1],263.1288769
73,Sample_data[, -1],264.027543
70,Sample_data[, -1],264.0639462
83,Sample_data[, -1],264.1003173
89,Sample_data[, -1],265.035386
154,Sample_data[, -1],265.0717558
17,Sample_data[, -1],265.0899575
156,Sample_data[, -1],265.1081508
103,Sample_data[, -1],265.1445332
76,Sample_data[, -1],266.0431957
71,Sample_data[, -1],266.0795946
21,Sample_data[, -1],266.0977791
61,Sample_data[, -1],266.1159625
74,Sample_data[, -1],267.0146473
139,Sample_data[, -1],267.0510175
20,Sample_data[, -1],267.0692237
132,Sample_data[, -1],267.0874203
20,Sample_data[, -1],267.1055978
132,Sample_data[, -1],267.1237916
76,Sample_data[, -1],267.1601835
37,Sample_data[, -1],268.0224726
66,Sample_data[, -1],268.0588395
21,Sample_data[, -1],268.0770408
57,Sample_data[, -1],268.0952461
17,Sample_data[, -1],268.1134217
100,Sample_data[, -1],269.0302848
73,Sample_data[, -1],269.0455521
132,Sample_data[, -1],269.0666751
65,Sample_data[, -1],269.0819218
14,Sample_data[, -1],269.084858
133,Sample_data[, -1],269.1030638
89,Sample_data[, -1],269.1394393
68,Sample_data[, -1],270.0744983
83,Sample_data[, -1],271.0248035
93,Sample_data[, -1],271.0459363
76,Sample_data[, -1],271.061205
120,Sample_data[, -1],271.0823231
80,Sample_data[, -1],271.0975704
110,Sample_data[, -1],271.1187118
63,Sample_data[, -1],271.1339774
1,Sample_data[, -1],271.1663177
51,Sample_data[, -1],272.0326277
10,Sample_data[, -1],272.0795767
17,Sample_data[, -1],272.0977677
14,Sample_data[, -1],272.1159713
67,Sample_data[, -1],273.0040765
107,Sample_data[, -1],273.0404545
65,Sample_data[, -1],273.0615991
9,Sample_data[, -1],273.0692232
122,Sample_data[, -1],273.0768456
10,Sample_data[, -1],273.087401
88,Sample_data[, -1],273.0979652
20,Sample_data[, -1],273.1055935
103,Sample_data[, -1],273.113229
13,Sample_data[, -1],273.1238013
80,Sample_data[, -1],273.1496127
70,Sample_data[, -1],274.0482742
9,Sample_data[, -1],274.077049
86,Sample_data[, -1],274.0846762
16,Sample_data[, -1],274.0952302
15,Sample_data[, -1],274.1134144
102,Sample_data[, -1],275.0197232
140,Sample_data[, -1],275.0561047
17,Sample_data[, -1],275.0848615
150,Sample_data[, -1],275.0924971
18,Sample_data[, -1],275.1030636
15,Sample_data[, -1],275.1212468
100,Sample_data[, -1],275.1288745
71,Sample_data[, -1],275.1652715
63,Sample_data[, -1],276.0275412
87,Sample_data[, -1],276.063937
14,Sample_data[, -1],276.0745045
14,Sample_data[, -1],276.0926856
69,Sample_data[, -1],276.1003087
122,Sample_data[, -1],277.0353707
159,Sample_data[, -1],277.0717561
159,Sample_data[, -1],277.1081435
118,Sample_data[, -1],277.1445257
77,Sample_data[, -1],278.0432061
77,Sample_data[, -1],278.0795722
84,Sample_data[, -1],278.1159753
72,Sample_data[, -1],279.0146252
122,Sample_data[, -1],279.0510318
132,Sample_data[, -1],279.0873981
19,Sample_data[, -1],279.1056019
130,Sample_data[, -1],279.1238029
68,Sample_data[, -1],279.1601675
82,Sample_data[, -1],280.058857
76,Sample_data[, -1],280.0952215
19,Sample_data[, -1],280.1134204
66,Sample_data[, -1],280.1316264
112,Sample_data[, -1],281.0302863
142,Sample_data[, -1],281.0666674
21,Sample_data[, -1],281.084871
165,Sample_data[, -1],281.1030584
111,Sample_data[, -1],281.1394384
8,Sample_data[, -1],281.2486008
63,Sample_data[, -1],282.0381144
73,Sample_data[, -1],282.0744886
15,Sample_data[, -1],282.092682
73,Sample_data[, -1],282.1108844
52,Sample_data[, -1],283.0248164
110,Sample_data[, -1],283.0459304
63,Sample_data[, -1],283.0611803
145,Sample_data[, -1],283.0823228
57,Sample_data[, -1],283.097589
20,Sample_data[, -1],283.1005223
124,Sample_data[, -1],283.118703
49,Sample_data[, -1],283.1339501
94,Sample_data[, -1],283.155092
5,Sample_data[, -1],283.2642517
86,Sample_data[, -1],284.0901516
70,Sample_data[, -1],285.0251915
76,Sample_data[, -1],285.040446
121,Sample_data[, -1],285.0615863
84,Sample_data[, -1],285.0768518
120,Sample_data[, -1],285.0979674
72,Sample_data[, -1],285.1132159
93,Sample_data[, -1],285.1343528
63,Sample_data[, -1],285.1496203
3,Sample_data[, -1],285.1819659
55,Sample_data[, -1],286.0482681
17,Sample_data[, -1],286.095238
71,Sample_data[, -1],287.0197305
76,Sample_data[, -1],287.0408475
101,Sample_data[, -1],287.0560946
87,Sample_data[, -1],287.0772295
17,Sample_data[, -1],287.0848632
113,Sample_data[, -1],287.0924998
16,Sample_data[, -1],287.1030665
94,Sample_data[, -1],287.1136258
18,Sample_data[, -1],287.1212447
84,Sample_data[, -1],287.128869
67,Sample_data[, -1],287.1652642
61,Sample_data[, -1],288.0275416
87,Sample_data[, -1],288.0639334
5,Sample_data[, -1],288.0926716
64,Sample_data[, -1],288.100306
13,Sample_data[, -1],288.110877
101,Sample_data[, -1],289.0353592
140,Sample_data[, -1],289.0717588
11,Sample_data[, -1],289.0823343
19,Sample_data[, -1],289.1005162
133,Sample_data[, -1],289.1081383
6,Sample_data[, -1],289.1186922
96,Sample_data[, -1],289.1445196
79,Sample_data[, -1],290.0431957
104,Sample_data[, -1],290.0795762
2,Sample_data[, -1],290.09013
8,Sample_data[, -1],290.1083261
68,Sample_data[, -1],290.115959
80,Sample_data[, -1],291.0146298
143,Sample_data[, -1],291.0510251
115,Sample_data[, -1],291.0873939
133,Sample_data[, -1],291.1238019
67,Sample_data[, -1],291.1601627
54,Sample_data[, -1],292.0224676
70,Sample_data[, -1],292.0588332
97,Sample_data[, -1],292.0952331
57,Sample_data[, -1],292.119049
68,Sample_data[, -1],292.1316147
109,Sample_data[, -1],293.0302914
110,Sample_data[, -1],293.0666564
180,Sample_data[, -1],293.1030604
13,Sample_data[, -1],293.1212563
108,Sample_data[, -1],293.1394336
68,Sample_data[, -1],293.1758213
75,Sample_data[, -1],294.0381141
74,Sample_data[, -1],294.0744821
6,Sample_data[, -1],294.0926716
28,Sample_data[, -1],294.0982925
85,Sample_data[, -1],294.1108814
55,Sample_data[, -1],294.1346994
45,Sample_data[, -1],295.0095343
130,Sample_data[, -1],295.0459336
44,Sample_data[, -1],295.0612008
177,Sample_data[, -1],295.0823207
7,Sample_data[, -1],295.1005003
114,Sample_data[, -1],295.1186946
108,Sample_data[, -1],295.1551007
17,Sample_data[, -1],295.2278704
41,Sample_data[, -1],296.0537419
7,Sample_data[, -1],296.0719447
30,Sample_data[, -1],296.0775612
90,Sample_data[, -1],296.0901496
17,Sample_data[, -1],296.1083459
51,Sample_data[, -1],296.1139569
51,Sample_data[, -1],296.1265225
65,Sample_data[, -1],297.0251884
71,Sample_data[, -1],297.0404543
126,Sample_data[, -1],297.0615939
70,Sample_data[, -1],297.0768366
87,Sample_data[, -1],297.0979532
55,Sample_data[, -1],297.1132136
9,Sample_data[, -1],297.1161525
116,Sample_data[, -1],297.1343627
7,Sample_data[, -1],297.1529906
59,Sample_data[, -1],297.1707321
10,Sample_data[, -1],297.243519
50,Sample_data[, -1],298.048276
40,Sample_data[, -1],298.0693941
73,Sample_data[, -1],298.1057997
73,Sample_data[, -1],299.0197223
58,Sample_data[, -1],299.040833
82,Sample_data[, -1],299.05609
127,Sample_data[, -1],299.0772362
93,Sample_data[, -1],299.0924983
122,Sample_data[, -1],299.1136177
67,Sample_data[, -1],299.1288639
1,Sample_data[, -1],299.1487673
74,Sample_data[, -1],299.1499949
20,Sample_data[, -1],299.2016434
72,Sample_data[, -1],300.0639315
86,Sample_data[, -1],301.0353541
93,Sample_data[, -1],301.0564969
105,Sample_data[, -1],301.0717638
112,Sample_data[, -1],301.0928848
18,Sample_data[, -1],301.1005064
90,Sample_data[, -1],301.1081271
1,Sample_data[, -1],301.1186777
63,Sample_data[, -1],301.1292556
89,Sample_data[, -1],301.1445236
56,Sample_data[, -1],301.1809143
55,Sample_data[, -1],302.0431764
77,Sample_data[, -1],302.0795867
15,Sample_data[, -1],302.0901469
18,Sample_data[, -1],302.1083345
63,Sample_data[, -1],302.1159605
74,Sample_data[, -1],303.0146406
107,Sample_data[, -1],303.0510041
52,Sample_data[, -1],303.0721346
136,Sample_data[, -1],303.0874042
19,Sample_data[, -1],303.0979762
82,Sample_data[, -1],303.1085408
17,Sample_data[, -1],303.116168
129,Sample_data[, -1],303.1237921
66,Sample_data[, -1],303.1601593
83,Sample_data[, -1],304.0588488
75,Sample_data[, -1],304.0952126
6,Sample_data[, -1],304.1057776
65,Sample_data[, -1],304.1316234
81,Sample_data[, -1],305.0302633
5,Sample_data[, -1],305.0642564
157,Sample_data[, -1],305.0666726
159,Sample_data[, -1],305.1030526
93,Sample_data[, -1],305.1394245
71,Sample_data[, -1],305.1758341
62,Sample_data[, -1],306.038118
78,Sample_data[, -1],306.0744803
76,Sample_data[, -1],306.1108722
67,Sample_data[, -1],307.0095545
99,Sample_data[, -1],307.0459155
175,Sample_data[, -1],307.0823188
163,Sample_data[, -1],307.1187036
75,Sample_data[, -1],307.1550701
66,Sample_data[, -1],308.0537528
90,Sample_data[, -1],308.0901486
8,Sample_data[, -1],308.1083263
25,Sample_data[, -1],308.1139296
58,Sample_data[, -1],308.1265125
71,Sample_data[, -1],309.0251829
47,Sample_data[, -1],309.0404522
150,Sample_data[, -1],309.0615889
125,Sample_data[, -1],309.0979511
5,Sample_data[, -1],309.1161476
129,Sample_data[, -1],309.1343488
6,Sample_data[, -1],309.1529911
91,Sample_data[, -1],309.1707464
42,Sample_data[, -1],310.0330139
77,Sample_data[, -1],310.0694155
13,Sample_data[, -1],310.0875965
28,Sample_data[, -1],310.0931974
55,Sample_data[, -1],310.1057725
33,Sample_data[, -1],310.1295926
96,Sample_data[, -1],311.0408434
79,Sample_data[, -1],311.0561091
157,Sample_data[, -1],311.0772332
72,Sample_data[, -1],311.0924822
106,Sample_data[, -1],311.113599
58,Sample_data[, -1],311.1288669
113,Sample_data[, -1],311.1500074
5,Sample_data[, -1],311.1686369
29,Sample_data[, -1],312.0275247
78,Sample_data[, -1],312.0850637
26,Sample_data[, -1],312.1088504
38,Sample_data[, -1],312.1214144
61,Sample_data[, -1],313.0201045
66,Sample_data[, -1],313.0353504
82,Sample_data[, -1],313.0564764
86,Sample_data[, -1],313.0717405
142,Sample_data[, -1],313.0928883
1,Sample_data[, -1],313.1021139
88,Sample_data[, -1],313.1081453
95,Sample_data[, -1],313.129261
57,Sample_data[, -1],313.144507
2,Sample_data[, -1],313.1644091
54,Sample_data[, -1],313.1656392
50,Sample_data[, -1],313.1809037
51,Sample_data[, -1],314.0431979
57,Sample_data[, -1],314.0795632
62,Sample_data[, -1],315.0146125
51,Sample_data[, -1],315.0357392
96,Sample_data[, -1],315.051011
92,Sample_data[, -1],315.0721545
9,Sample_data[, -1],315.0850091
127,Sample_data[, -1],315.0874091
74,Sample_data[, -1],315.1085192
76,Sample_data[, -1],315.1237655
60,Sample_data[, -1],315.1449006
77,Sample_data[, -1],315.1601715
67,Sample_data[, -1],316.058835
57,Sample_data[, -1],316.0952132
4,Sample_data[, -1],316.1057802
15,Sample_data[, -1],316.1239869
43,Sample_data[, -1],316.1316284
2,Sample_data[, -1],316.212926
77,Sample_data[, -1],317.0302646
44,Sample_data[, -1],317.0513863
11,Sample_data[, -1],317.0642397
100,Sample_data[, -1],317.0666558
84,Sample_data[, -1],317.087799
4,Sample_data[, -1],317.1006557
134,Sample_data[, -1],317.1030607
13,Sample_data[, -1],317.1136193
57,Sample_data[, -1],317.1241748
83,Sample_data[, -1],317.1394214
70,Sample_data[, -1],317.1758161
54,Sample_data[, -1],318.0380974
87,Sample_data[, -1],318.0744982
73,Sample_data[, -1],318.1108594
50,Sample_data[, -1],318.1472547
59,Sample_data[, -1],319.0095321
116,Sample_data[, -1],319.0459402
15,Sample_data[, -1],319.0798859
110,Sample_data[, -1],319.0822991
112,Sample_data[, -1],319.1186897
118,Sample_data[, -1],319.1550981
49,Sample_data[, -1],319.1914557
66,Sample_data[, -1],320.0537521
84,Sample_data[, -1],320.0901226
79,Sample_data[, -1],320.1265322
84,Sample_data[, -1],321.025203
10,Sample_data[, -1],321.0591633
113,Sample_data[, -1],321.061571
109,Sample_data[, -1],321.097947
155,Sample_data[, -1],321.1343589
86,Sample_data[, -1],321.1707324
73,Sample_data[, -1],322.0694025
30,Sample_data[, -1],322.0931966
64,Sample_data[, -1],322.1057707
75,Sample_data[, -1],322.1421822
110,Sample_data[, -1],323.0408469
151,Sample_data[, -1],323.0772303
101,Sample_data[, -1],323.1135942
115,Sample_data[, -1],323.1500007
69,Sample_data[, -1],323.1863895
85,Sample_data[, -1],324.085064
20,Sample_data[, -1],324.1032567
36,Sample_data[, -1],324.108856
70,Sample_data[, -1],324.1214293
69,Sample_data[, -1],325.0201113
49,Sample_data[, -1],325.0353605
92,Sample_data[, -1],325.0564745
55,Sample_data[, -1],325.0717325
118,Sample_data[, -1],325.0928725
17,Sample_data[, -1],325.1110822
136,Sample_data[, -1],325.1292733
55,Sample_data[, -1],325.1445226
70,Sample_data[, -1],325.1656331
66,Sample_data[, -1],326.0643255
37,Sample_data[, -1],326.0881179
59,Sample_data[, -1],326.1006868
26,Sample_data[, -1],326.1244903
49,Sample_data[, -1],327.0146275
57,Sample_data[, -1],327.0357375
62,Sample_data[, -1],327.0509937
88,Sample_data[, -1],327.0721304
81,Sample_data[, -1],327.0873987
123,Sample_data[, -1],327.1085407
72,Sample_data[, -1],327.1237912
72,Sample_data[, -1],327.1449007
46,Sample_data[, -1],327.1601479
1,Sample_data[, -1],327.1800532
43,Sample_data[, -1],327.1812793
55,Sample_data[, -1],328.058849
58,Sample_data[, -1],328.0952201
21,Sample_data[, -1],328.1037502
79,Sample_data[, -1],329.0302812
54,Sample_data[, -1],329.0513962
98,Sample_data[, -1],329.066645
81,Sample_data[, -1],329.0877737
6,Sample_data[, -1],329.0954163
104,Sample_data[, -1],329.1030397
7,Sample_data[, -1],329.1064106
8,Sample_data[, -1],329.1136116
97,Sample_data[, -1],329.1241828
16,Sample_data[, -1],329.1318105
100,Sample_data[, -1],329.1394448
59,Sample_data[, -1],329.160564
51,Sample_data[, -1],329.1758069
38,Sample_data[, -1],330.0380845
68,Sample_data[, -1],330.0744842
68,Sample_data[, -1],330.1108852
14,Sample_data[, -1],330.1214432
36,Sample_data[, -1],330.1472384
50,Sample_data[, -1],331.0095231
16,Sample_data[, -1],331.0435022
91,Sample_data[, -1],331.0459174
76,Sample_data[, -1],331.0670622
8,Sample_data[, -1],331.0799189
138,Sample_data[, -1],331.0823245
68,Sample_data[, -1],331.1034419
13,Sample_data[, -1],331.1110668
102,Sample_data[, -1],331.1186858
3,Sample_data[, -1],331.1292456
39,Sample_data[, -1],331.1398036
69,Sample_data[, -1],331.1550647
58,Sample_data[, -1],331.1914826
67,Sample_data[, -1],332.0537589
86,Sample_data[, -1],332.0901396
2,Sample_data[, -1],332.1188758
62,Sample_data[, -1],332.1265047
49,Sample_data[, -1],332.1629108
66,Sample_data[, -1],333.0251802
7,Sample_data[, -1],333.0591984
141,Sample_data[, -1],333.0615902
10,Sample_data[, -1],333.0955421
119,Sample_data[, -1],333.0979537
94,Sample_data[, -1],333.1343293
97,Sample_data[, -1],333.1707396
45,Sample_data[, -1],333.2071219
39,Sample_data[, -1],334.0330027
81,Sample_data[, -1],334.0694106
84,Sample_data[, -1],334.1057744
59,Sample_data[, -1],334.1421565
14,Sample_data[, -1],335.0384196
95,Sample_data[, -1],335.0408271
